G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
-26186.1154,634.2917,280.647,8.85804,-1.18863,0.85825,-0.47797,0.46955,-1.63408,261.2521,436.6315002,-3.7326
-22236.0669,-16.4192,206.05,8.62256,0,-0.22402,-0.2114,0.33007,-0.22459,189.2344,346.7327271,-2.07
-26734.4477,-1065.3229,223.278,5.48115,-2.2366,0.6105,-0.76124,1.39029,-0.84631,182.1559,412.8551636,0.43
-23728.5106,70.8569,261.283,4.81216,-0.53253,0.90381,-0.53253,0.50758,-1.39619,198.3076,436.5383911,-2.36
-26709.4704,395.9113,284.361,5.50555,-0.79469,0.4862,-0.48269,0.36472,-1.40494,232.2816,483.4728394,-5.094
-20064.4754,-239.5581,131.064,0.892129,0,0.26137,-0.08346,0.34483,-0.26137,144.3877,255.1771545,-2.17
-24554.95,45.8232,265.602,2.76217,-0.8469,0.84387,-0.47556,0.49763,-1.61834,218.2548,432.7621155,-1.795
-30703.4085,-191.7895,376.117,5.82818,-1.97167,1.29556,-0.76954,1.99899,-1.80016,316.4176,577.2781372,-4.16
-25350.8889,10.7975,256.784,4.74615,-0.81309,1.14969,-0.5169,0.5083,-1.70848,228.6779,444.2149048,-2.56
-21218.4165,294.4614,206.564,3.28398,-0.3388,0.09352,-0.3388,0.27345,-0.3388,152.2358,338.0643311,-1.95466
-20863.3055,-5.0694,211.631,1.74066,-0.37184,0.03289,-0.37184,0.20716,-0.37184,154.2516,340.9176636,-2.32
-32235.3306,-251.188,374.448,2.67758,0,0.262,-0.0668,0.11006,-0.48172,429.7718,521.6300659,-9.159894
-28902.441,-61.3206,342.103,8.79864,-1.54415,-0.40326,-0.77475,1.90557,-0.66066,312.404,533.2980957,-3.74
-19312.9484,25.8439,133.681,5.56977,-0.50936,0.38605,-0.50936,0.39416,-0.79701,109.1274,277.9747314,0.96
-25564.9756,-8.6549,255.83,5.82087,-2.74235,-1.20452,-0.82498,1.94518,0.14744,267.3324,418.5163269,-1.348
-28836.5544,57.5702,318.462,4.7063,-1.26285,0.27793,-0.39922,0.53234,-0.92616,314.1244,505.0493469,-5.906
-20358.569,95.9728,145.246,4.18078,-0.4767,0.15225,-0.4767,0.4054,-0.81123,121.1384,301.1521912,-0.68
-21962.158,54.3417,188.07,2.57443,0,0.03294,-0.25289,0.1252,-0.25289,134.6485,367.2807617,-3.99
-26536.7923,-57.7623,285.144,9.71288,-1.56336,0.1303,-0.7849,1.91527,-1.35197,264.3014,476.6925049,-2.82
-26954.8647,-8.0559,287.773,5.32539,-1.21287,0.52989,-0.46987,0.36809,-1.80219,246.2652,465.104248,-2.31
-31611.7519,446.3877,428.581,4.31858,-1.1917,1.39524,-0.47642,0.46912,-2.79827,392.4046,584.5751343,-3.3711
-24056.3473,141.5954,209.81,0.33216,-2.23296,0.6425,-0.38706,0.21889,-2.23296,182.173,360.1988831,1.09
